index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,0.14056402
558468,27,7,29/12/2013,0,0,0,0,0,0.14056402
76950,404,3,19/03/2014,657,1,1,0,0,6801.128
77556,683,2,29/01/2013,862,1,0,0,0,6754.061
456344,920,3,19/03/2014,591,1,1,0,0,6251.329
436466,758,4,26/06/2014,569,1,0,0,0,5094.9014
646251,563,1,16/02/2015,321,1,1,0,0,3843.3667
650464,930,6,22/11/2014,1367,1,0,0,0,10231.448
162710,756,4,04/06/2015,0,0,1,a,0,-0.939353
100327,49,2,13/01/2015,546,1,1,0,0,6285.158
374540,787,4,23/07/2015,968,1,0,0,1,7633.725
399143,782,4,19/09/2013,472,1,0,0,0,4443.0923
44740,897,7,20/04/2014,0,0,0,0,0,0.14056402
674144,933,1,09/12/2013,965,1,0,0,0,7433.2173
81595,218,2,07/04/2015,804,1,0,0,1,6557.898
416724,554,3,09/10/2013,499,1,1,0,1,5530.7456
632687,362,1,12/08/2013,1337,1,1,0,1,12858.185
351899,655,3,09/04/2014,560,1,0,0,0,5062.4517
515940,785,3,31/12/2014,461,1,0,0,1,4352.654
567411,690,3,19/03/2014,866,1,1,0,0,8175.7617
274598,1103,7,15/02/2015,0,0,0,0,0,0.14056402
417880,431,1,02/06/2014,1367,1,1,0,0,13362.287
453710,127,2,24/09/2013,642,1,1,0,0,7102.934
597622,579,5,29/03/2013,0,0,1,b,1,-0.87973064
223346,248,6,03/08/2013,1139,1,0,0,0,9334.05
630018,962,6,11/01/2014,0,0,0,0,0,3.4783843
355860,224,2,26/03/2013,515,1,1,0,1,5964.458
360080,208,3,19/06/2013,355,1,1,0,1,4017.5818
129544,401,1,30/03/2015,1063,1,1,0,0,10841.161
422545,503,7,29/09/2013,0,0,0,0,0,0.14056402
174199,221,4,05/03/2015,562,1,1,0,0,5968.4565
118613,268,7,02/11/2014,0,0,0,0,0,0.14056402
60310,799,2,27/08/2013,927,1,1,0,1,9080.784
328458,260,6,25/10/2014,894,1,0,0,0,8120.0146
200661,1041,2,10/03/2015,594,1,0,0,0,5128.447
179581,350,2,18/06/2013,533,1,1,0,0,6147.682
587612,286,7,05/04/2015,0,0,0,0,0,0.14056402
320169,620,2,04/06/2013,709,1,1,0,0,7478.483
37194,521,1,17/06/2013,484,1,1,0,0,5852.2627
685427,649,4,27/11/2014,435,1,1,0,0,4915.6973
125422,1059,2,02/06/2015,1239,1,1,0,0,11056.982
24499,486,6,28/06/2014,373,1,0,0,0,3455.101
281806,252,4,17/10/2013,642,1,0,0,0,5543.69
540511,656,3,15/05/2013,421,1,1,0,0,4851.3306
28689,642,5,12/09/2014,394,1,0,0,0,3999.106
165066,655,5,08/05/2015,761,1,1,0,0,7639.096
555963,992,3,26/06/2013,627,1,0,0,0,5438.331
610614,143,2,02/06/2015,731,1,1,0,0,7610.417
64013,421,5,18/07/2014,941,1,1,0,1,8722.103
30639,246,4,02/10/2014,1157,1,1,0,0,10124.53
418604,960,1,28/04/2014,720,1,1,0,0,7949.8516
468037,313,5,17/01/2014,697,1,0,0,0,6341.4844
271589,291,6,29/06/2013,534,1,0,0,0,5282.6455
77924,924,6,31/05/2014,333,1,0,0,0,3078.9783
247149,337,2,13/08/2013,430,1,1,0,1,5159.5957
576822,1024,4,12/03/2015,607,1,0,0,0,5394.403
108538,56,3,22/01/2014,402,1,1,0,0,4781.3477
645670,507,3,09/04/2014,532,1,0,0,0,4858.0806
601663,970,5,15/03/2013,406,1,0,0,0,4126.333
502588,846,2,23/06/2015,828,1,0,0,0,6551.2188
66732,549,3,27/08/2014,582,1,0,0,0,5166.4575
627113,1095,4,28/03/2013,852,1,1,0,1,8156.797
691184,859,5,12/04/2013,709,1,1,0,0,7207.2993
467913,914,2,29/07/2014,1178,1,1,0,1,10752.217
304890,888,2,23/06/2015,634,1,0,0,0,5424.061
274018,442,2,04/11/2014,517,1,1,0,0,5963.168
644430,34,6,09/03/2013,905,1,0,0,0,7991.4546
669009,199,4,10/07/2014,581,1,0,0,0,5249.3574
518722,854,4,04/06/2015,657,1,1,a,0,5960.125
505976,611,2,21/01/2014,485,1,1,0,0,5697.6333
291572,808,4,09/04/2015,528,1,0,0,1,4766.7734
39071,1105,4,22/01/2015,410,1,0,0,0,4126.8213
319154,866,5,24/04/2015,445,1,0,0,0,4458.2153
166603,222,6,28/09/2013,367,1,0,0,0,3455.576
428262,476,2,24/09/2013,753,1,1,0,0,7705.5215
20314,800,1,26/05/2014,494,1,0,0,0,4679.382
603091,330,1,24/03/2014,408,1,0,0,0,4068.989
500421,507,3,07/01/2015,648,1,1,0,0,6761.7876
388016,98,7,02/06/2013,0,0,0,0,0,0.14056402
268257,1026,2,28/01/2014,1044,1,0,0,0,7803.3535
216326,990,5,04/10/2013,719,1,0,0,0,6413.468
40755,8,6,10/01/2015,345,1,0,0,0,3240.7854
8654,611,3,31/07/2013,566,1,1,0,1,6253.9707
37301,257,2,13/08/2013,777,1,1,0,0,8028.9893
485623,840,4,16/04/2015,1189,1,1,0,0,10315.892
214073,848,5,31/07/2015,998,1,1,0,1,8930.455
406145,124,6,12/07/2014,297,1,0,0,0,2740.9412
397642,1028,2,31/12/2013,438,1,0,0,1,4318.9795
